iteration,clock_source,vreg,divider,range,freqa,freqb,clock_freq
0,rosc,10,11,fa4,0077,0777,10012
0,rosc,10,11,fa4,0077,7777,10707
0,rosc,10,11,fa4,0777,0007,8960
0,rosc,10,11,fa4,0777,0077,9751
0,rosc,10,11,fa4,0777,0777,10816
0,rosc,10,11,fa4,0777,7777,11633
0,rosc,10,11,fa4,7777,0007,9846
0,rosc,10,11,fa4,7777,0077,10815
0,rosc,10,11,fa4,7777,0777,12139
0,rosc,10,11,fa4,7777,7777,13184
0,rosc,10,11,fa5,0007,0007,9835
0,rosc,10,11,fa5,0007,0077,10911
0,rosc,10,11,fa5,0007,0777,10899
0,rosc,10,11,fa5,0007,7777,10895
0,rosc,10,11,fa5,0077,0007,10984
0,rosc,10,11,fa5,0077,0077,12348
0,rosc,10,11,fa5,0077,0777,12306
0,rosc,10,11,fa5,0077,7777,12314
0,rosc,10,11,fa5,0777,0007,11965
0,rosc,10,11,fa5,0777,0077,13601
0,rosc,10,11,fa5,0777,0777,13551
0,rosc,10,11,fa5,0777,7777,13558
0,rosc,10,11,fa5,7777,0007,13584
0,rosc,10,11,fa5,7777,0077,15740
0,rosc,10,11,fa5,7777,0777,15681
0,rosc,10,11,fa5,7777,7777,15675
0,rosc,10,11,fa7,0007,0007,12553
0,rosc,10,11,fa7,0007,0077,12580
0,rosc,10,11,fa7,0007,0777,12622
0,rosc,10,11,fa7,0007,7777,12628
0,rosc,10,11,fa7,0077,0007,14519
0,rosc,10,11,fa7,0077,0077,14576
0,rosc,10,11,fa7,0077,0777,14597
0,rosc,10,11,fa7,0077,7777,14601
0,rosc,10,11,fa7,0777,0007,16290
0,rosc,10,11,fa7,0777,0077,16341
0,rosc,10,11,fa7,0777,0777,16373
0,rosc,10,11,fa7,0777,7777,16382
0,rosc,10,11,fa7,7777,0007,19975
0,rosc,10,11,fa7,7777,0077,19982
0,rosc,10,11,fa7,7777,0777,20001
0,rosc,10,11,fa7,7777,7777,20008
0,rosc,10,11,fa6,0007,0007,20280
0,rosc,10,11,fa6,0007,0077,20252
0,rosc,10,11,fa6,0007,0777,20191
0,rosc,10,11,fa6,0007,7777,20156
0,rosc,10,11,fa6,0077,0007,26957
0,rosc,10,11,fa6,0077,0077,26965
0,rosc,10,11,fa6,0077,0777,26904
0,rosc,10,11,fa6,0077,7777,26920
0,rosc,10,11,fa6,0777,0007,26806
0,rosc,10,11,fa6,0777,0077,26724
0,rosc,10,11,fa6,0777,0777,26694
0,rosc,10,11,fa6,0777,7777,26695
0,rosc,10,11,fa6,7777,0007,26715
0,rosc,10,11,fa6,7777,0077,26698
0,rosc,10,11,fa6,7777,0777,26597
0,rosc,10,11,fa6,7777,7777,26547
0,rosc,10,16,fa4,0007,0007,5312
0,rosc,10,16,fa4,0007,0077,5705
0,rosc,10,16,fa4,0007,0777,6226
0,rosc,10,16,fa4,0007,7777,6611
0,rosc,10,16,fa4,0077,0007,5774
0,rosc,10,16,fa4,0077,0077,6248
0,rosc,10,16,fa4,0077,0777,6877
0,rosc,10,16,fa4,0077,7777,7360
0,rosc,10,16,fa4,0777,0007,6158
0,rosc,10,16,fa4,0777,0077,6703
0,rosc,10,16,fa4,0777,0777,7435
0,rosc,10,16,fa4,0777,7777,7996
0,rosc,10,16,fa4,7777,0007,6770
0,rosc,10,16,fa4,7777,0077,7436
0,rosc,10,16,fa4,7777,0777,8344
0,rosc,10,16,fa4,7777,7777,9062
0,rosc,10,16,fa5,0007,0007,6770
0,rosc,10,16,fa5,0007,0077,7506
0,rosc,10,16,fa5,0007,0777,7484
0,rosc,10,16,fa5,0007,7777,7489
0,rosc,10,16,fa5,0077,0007,7549
0,rosc,10,16,fa5,0077,0077,8493
0,rosc,10,16,fa5,0077,0777,8464
0,rosc,10,16,fa5,0077,7777,8467
0,rosc,10,16,fa5,0777,0007,8227
