clock_source,vco_freq,div1,div2,clock_freq
pll,0910,7,4,32143
pll,0910,7,5,25714
pll,0910,7,6,21429
pll,0910,7,7,18367
pll,0920,1,7,130285
pll,0920,2,4,114000
pll,0920,2,5,91200
pll,0920,2,6,76000
pll,0920,2,7,65143
pll,0920,3,3,101333
pll,0920,3,4,76000
pll,0920,3,5,60801
pll,0920,3,6,50667
pll,0920,3,7,43429
pll,0920,4,2,114000
pll,0920,4,3,76001
pll,0920,4,4,57000
pll,0920,4,5,45600
pll,0920,4,6,38001
pll,0920,4,7,32572
pll,0920,5,2,91200
pll,0920,5,3,60800
pll,0920,5,4,45600
pll,0920,5,5,36480
pll,0920,5,6,30400
pll,0920,5,7,26057
pll,0920,6,2,76000
pll,0920,6,3,50666
pll,0920,6,4,38000
pll,0920,6,5,30400
pll,0920,6,6,25333
pll,0920,6,7,21714
pll,0920,7,1,130286
pll,0920,7,2,65143
pll,0920,7,3,43429
pll,0920,7,4,32571
pll,0920,7,5,26057
pll,0920,7,6,21714
pll,0920,7,7,18612
pll,0930,1,7,66000
pll,0930,2,4,115500
pll,0930,2,5,92400
pll,0930,2,6,77000
pll,0930,2,7,66001
pll,0930,3,3,102667
pll,0930,3,4,77000
pll,0930,3,5,61601
pll,0930,3,6,51334
pll,0930,3,7,44000
pll,0930,4,2,115501
pll,0930,4,3,77000
pll,0930,4,4,57750
pll,0930,4,5,46200
pll,0930,4,6,38500
pll,0930,4,7,33000
pll,0930,5,2,92401
pll,0930,5,3,61600
pll,0930,5,4,46200
pll,0930,5,5,36960
pll,0930,5,6,30801
pll,0930,5,7,26400
pll,0930,6,2,77000
pll,0930,6,3,51335
pll,0930,6,4,38500
pll,0930,6,5,30800
pll,0930,6,6,25667
pll,0930,6,7,22000
pll,0930,7,1,132000
pll,0930,7,2,66000
pll,0930,7,3,44000
pll,0930,7,4,33000
pll,0930,7,5,26400
pll,0930,7,6,22000
pll,0930,7,7,18857
pll,0940,1,7,133715
pll,0940,2,4,117000
pll,0940,2,5,93600
pll,0940,2,6,78000
pll,0940,2,7,66857
pll,0940,3,3,104000
pll,0940,3,4,78000
pll,0940,3,5,62400
pll,0940,3,6,52000
pll,0940,3,7,44571
pll,0940,4,2,117000
pll,0940,4,3,78000
pll,0940,4,4,58501
pll,0940,4,5,46800
pll,0940,4,6,39000
pll,0940,4,7,33428
pll,0940,5,2,93600
pll,0940,5,3,62400
pll,0940,5,4,46800
pll,0940,5,5,37440
pll,0940,5,6,31200
pll,0940,5,7,26743
pll,0940,6,2,78000
pll,0940,6,3,52000
pll,0940,6,4,39000
pll,0940,6,5,31200
pll,0940,6,6,26000
pll,0940,6,7,22286
pll,0940,7,1,133714
pll,0940,7,2,66857
pll,0940,7,3,44572
pll,0940,7,4,33429
pll,0940,7,5,26743
pll,0940,7,6,22285
pll,0940,7,7,19102
pll,0950,1,7,67714
pll,0950,2,4,118500
pll,0950,2,5,94800
pll,0950,2,6,79001
pll,0950,2,7,67714
pll,0950,3,3,105334
pll,0950,3,4,79000
pll,0950,3,5,63200
pll,0950,3,6,52667
pll,0950,3,7,45143
pll,0950,4,2,118500
pll,0950,4,3,79000
pll,0950,4,4,59250
pll,0950,4,5,47400
pll,0950,4,6,39500
pll,0950,4,7,33857
pll,0950,5,2,94800
pll,0950,5,3,63200
pll,0950,5,4,47400
pll,0950,5,5,37920
pll,0950,5,6,31600
pll,0950,5,7,27086
pll,0950,6,2,79000
pll,0950,6,3,52666
pll,0950,6,4,39500
pll,0950,6,5,31600
pll,0950,6,6,26334
pll,0950,6,7,22572
pll,0950,7,1,135428
pll,0950,7,2,67715
pll,0950,7,3,45143
pll,0950,7,4,33857
pll,0950,7,5,27086
pll,0950,7,6,22572
pll,0950,7,7,19347
pll,0960,1,7,68572
pll,0960,2,4,120000
pll,0960,2,5,96000
pll,0960,2,6,80000
pll,0960,2,7,68572
pll,0960,3,3,106667
pll,0960,3,4,80000
pll,0960,3,5,64000
pll,0960,3,6,53333
pll,0960,3,7,45714
pll,0960,4,2,120000
pll,0960,4,3,80000
pll,0960,4,4,60000
pll,0960,4,5,48000
pll,0960,4,6,40000
pll,0960,4,7,34286
pll,0960,5,2,96000
pll,0960,5,3,64000
pll,0960,5,4,48000
pll,0960,5,5,38401
pll,0960,5,6,32000
pll,0960,5,7,27429
pll,0960,6,2,80002
pll,0960,6,3,53334
pll,0960,6,4,40000
pll,0960,6,5,32000
pll,0960,6,6,26667
pll,0960,6,7,22858
pll,0960,7,1,137143
pll,0960,7,2,68571
pll,0960,7,3,45714
pll,0960,7,4,34285
pll,0960,7,5,27429
pll,0960,7,6,22857
pll,0960,7,7,19591
pll,0970,1,7,137143
pll,0970,2,4,120000
pll,0970,2,5,96000
pll,0970,2,6,80000
pll,0970,2,7,68571
pll,0970,3,3,106667
pll,0970,3,4,80000
pll,0970,3,5,64000
pll,0970,3,6,53333
pll,0970,3,7,45715
pll,0970,4,2,120000
pll,0970,4,3,80000
pll,0970,4,4,60000
pll,0970,4,5,48000
pll,0970,4,6,40000
pll,0970,4,7,34285
pll,0970,5,2,96000
pll,0970,5,3,64000
pll,0970,5,4,48000
pll,0970,5,5,38400
pll,0970,5,6,32000
pll,0970,5,7,27429
pll,0970,6,2,80002
pll,0970,6,3,53333
pll,0970,6,4,40000
pll,0970,6,5,32000
pll,0970,6,6,26667
pll,0970,6,7,22857
pll,0970,7,1,137143
pll,0970,7,2,68571
pll,0970,7,3,45715
pll,0970,7,4,34285
pll,0970,7,5,27428
pll,0970,7,6,22857
pll,0970,7,7,19591
pll,0980,1,7,69429
pll,0980,2,4,121501
pll,0980,2,5,97200
pll,0980,2,6,81000
pll,0980,2,7,69428
pll,0980,3,3,108000
pll,0980,3,4,81000
pll,0980,3,5,64801
pll,0980,3,6,54000
pll,0980,3,7,46286
pll,0980,4,2,121500
pll,0980,4,3,81000
pll,0980,4,4,60750
pll,0980,4,5,48600
pll,0980,4,6,40500
pll,0980,4,7,34715
pll,0980,5,2,97200
pll,0980,5,3,64800
pll,0980,5,4,48600
pll,0980,5,5,38880
pll,0980,5,6,32400
pll,0980,5,7,27771
pll,0980,6,2,81000
pll,0980,6,3,54000
pll,0980,6,4,40500
pll,0980,6,5,32400
pll,0980,6,6,27000
pll,0980,6,7,23143
pll,0980,7,1,138857
pll,0980,7,2,69428
pll,0980,7,3,46286
pll,0980,7,4,34715
pll,0980,7,5,27771
pll,0980,7,6,23143
pll,0980,7,7,19837
pll,0990,1,7,70286
pll,0990,2,4,123000
pll,0990,2,5,98400
pll,0990,2,6,82000
pll,0990,2,7,70286
pll,0990,3,3,109334
pll,0990,3,4,82000
pll,0990,3,5,65600
pll,0990,3,6,54667
pll,0990,3,7,46857
pll,0990,4,2,123000
pll,0990,4,3,82001
pll,0990,4,4,61500
pll,0990,4,5,49200
pll,0990,4,6,41000
pll,0990,4,7,35143
pll,0990,5,2,98400
pll,0990,5,3,65600
pll,0990,5,4,49200
pll,0990,5,5,39360
pll,0990,5,6,32801
pll,0990,5,7,28114
pll,0990,6,2,82000
pll,0990,6,3,54666
pll,0990,6,4,41000
pll,0990,6,5,32800
pll,0990,6,6,27334
pll,0990,6,7,23429
pll,0990,7,1,140572
pll,0990,7,2,70286
pll,0990,7,3,46857
pll,0990,7,4,35143
pll,0990,7,5,28114
pll,0990,7,6,23429
pll,0990,7,7,20082
pll,1000,1,7,71143
pll,1000,2,4,124500
pll,1000,2,5,99600
pll,1000,2,6,83000
pll,1000,2,7,71143
pll,1000,3,3,110667
pll,1000,3,4,83000
pll,1000,3,5,66400
pll,1000,3,6,55333
pll,1000,3,7,47428
pll,1000,4,2,124500
pll,1000,4,3,83000
pll,1000,4,4,62250
pll,1000,4,5,49800
pll,1000,4,6,41500
pll,1000,4,7,35573
pll,1000,5,2,99600
pll,1000,5,3,66400
pll,1000,5,4,49800
pll,1000,5,5,39840
pll,1000,5,6,33200
pll,1000,5,7,28457
pll,1000,6,2,83000
pll,1000,6,3,55333
pll,1000,6,4,41500
pll,1000,6,5,33200
pll,1000,6,6,27667
pll,1000,6,7,23714
pll,1000,7,1,142286
pll,1000,7,2,71144
pll,1000,7,3,47428
pll,1000,7,4,35572
pll,1000,7,5,28458
pll,1000,7,6,23715
pll,1000,7,7,20327
pll,1010,1,7,72000
pll,1010,2,4,126000
pll,1010,2,5,100800
pll,1010,2,6,84002
pll,1010,2,7,72000
pll,1010,3,3,112000
pll,1010,3,4,84000
pll,1010,3,5,67200
pll,1010,3,6,56000
pll,1010,3,7,48000
pll,1010,4,2,126000
pll,1010,4,3,84000
pll,1010,4,4,63000
pll,1010,4,5,50400
pll,1010,4,6,42000
pll,1010,4,7,36000
pll,1010,5,2,100800
pll,1010,5,3,67200
pll,1010,5,4,50400
pll,1010,5,5,40320
pll,1010,5,6,33600
pll,1010,5,7,28800
pll,1010,6,2,84000
pll,1010,6,3,56000
pll,1010,6,4,42000
pll,1010,6,5,33601
pll,1010,6,6,28000
pll,1010,6,7,24000
pll,1010,7,1,144000
pll,1010,7,2,72000
pll,1010,7,3,48000
pll,1010,7,4,36000
pll,1010,7,5,28800
pll,1010,7,6,24000
pll,1010,7,7,20571
pll,1020,1,7,72858
pll,1020,2,4,127500
pll,1020,2,5,102000
pll,1020,2,6,85000
pll,1020,2,7,72858
pll,1020,3,3,113334
pll,1020,3,4,85000
pll,1020,3,5,68000
pll,1020,3,6,56667
pll,1020,3,7,48572
pll,1020,4,2,127501
pll,1020,4,3,85000
pll,1020,4,4,63750
pll,1020,4,5,51000
pll,1020,4,6,42500
pll,1020,4,7,36428
pll,1020,5,2,102000
pll,1020,5,3,68000
pll,1020,5,4,51000
pll,1020,5,5,40800
pll,1020,5,6,34000
pll,1020,5,7,29143
pll,1020,6,2,85000
pll,1020,6,3,56667
pll,1020,6,4,42500
pll,1020,6,5,34000
pll,1020,6,6,28333
pll,1020,6,7,24285
pll,1020,7,1,145714
pll,1020,7,2,72857
pll,1020,7,3,48571
pll,1020,7,4,36429
pll,1020,7,5,29143
pll,1020,7,6,24285
pll,1020,7,7,20816
pll,1030,1,7,72857
pll,1030,2,4,127500
pll,1030,2,5,102000
pll,1030,2,6,85000
pll,1030,2,7,72857
pll,1030,3,3,113334
pll,1030,3,4,85000
pll,1030,3,5,68000
pll,1030,3,6,56667
pll,1030,3,7,48571
pll,1030,4,2,127500
pll,1030,4,3,85000
pll,1030,4,4,63750
pll,1030,4,5,51000
pll,1030,4,6,42500
pll,1030,4,7,36429
pll,1030,5,2,102000
pll,1030,5,3,68000
pll,1030,5,4,51000
pll,1030,5,5,40800
pll,1030,5,6,34000
pll,1030,5,7,29143
pll,1030,6,2,85000
pll,1030,6,3,56667
pll,1030,6,4,42500
pll,1030,6,5,34000
pll,1030,6,6,28333
pll,1030,6,7,24286
pll,1030,7,1,145714
pll,1030,7,2,72857
pll,1030,7,3,48572
pll,1030,7,4,36428
pll,1030,7,5,29143
pll,1030,7,6,24286
pll,1030,7,7,20816
pll,1040,1,7,147429
pll,1040,2,4,129000
pll,1040,2,5,103200
pll,1040,2,6,86000
pll,1040,2,7,73715
pll,1040,3,3,114666
pll,1040,3,4,86000
pll,1040,3,5,68800
pll,1040,3,6,57333
pll,1040,3,7,49143
pll,1040,4,2,129000
pll,1040,4,3,86000
pll,1040,4,4,64500
pll,1040,4,5,51600
pll,1040,4,6,43000
pll,1040,4,7,36857
pll,1040,5,2,103201
pll,1040,5,3,68800
pll,1040,5,4,51600
pll,1040,5,5,41280
pll,1040,5,6,34400
pll,1040,5,7,29486
pll,1040,6,2,86000
pll,1040,6,3,57333
pll,1040,6,4,43000
