vreg,divider,range,freqa,freqb,clock_freq
11,01,fa5,1777,7777,187933
11,01,fa5,3777,0001,164209
11,01,fa5,3777,0003,167726
11,01,fa5,3777,0005,167841
11,01,fa5,3777,0007,169614
11,01,fa5,3777,0017,186219
11,01,fa5,3777,0037,192167
11,01,fa5,3777,0057,191741
11,01,fa5,3777,0077,195166
11,01,fa5,3777,0177,194931
11,01,fa5,3777,0377,194661
11,01,fa5,3777,0577,194653
11,01,fa5,3777,0777,194352
11,01,fa5,3777,1777,194347
11,01,fa5,3777,3777,194336
11,01,fa5,3777,5777,194359
11,01,fa5,3777,7777,194346
11,01,fa5,5777,0001,164191
11,01,fa5,5777,0003,167700
11,01,fa5,5777,0005,167791
11,01,fa5,5777,0007,169576
11,01,fa5,5777,0017,186158
11,01,fa5,5777,0037,192087
11,01,fa5,5777,0057,191651
11,01,fa5,5777,0077,194972
11,01,fa5,5777,0177,194751
11,01,fa5,5777,0377,194570
11,01,fa5,5777,0577,194590
11,01,fa5,5777,0777,194300
11,01,fa5,5777,1777,194387
11,01,fa5,5777,3777,194285
11,01,fa5,5777,5777,194340
11,01,fa5,5777,7777,194334
11,01,fa5,7777,0001,166510
11,01,fa5,7777,0003,170137
11,01,fa5,7777,0005,170205
11,01,fa5,7777,0007,172120
11,01,fa5,7777,0017,189285
11,01,fa5,7777,0037,195414
11,01,fa5,7777,0057,195045
11,01,fa5,7777,0077,198490
11,01,fa5,7777,0177,198250
11,01,fa5,7777,0377,197995
11,01,fa5,7777,0577,197903
11,01,fa5,7777,0777,197804
11,01,fa5,7777,1777,197852
11,01,fa5,7777,3777,197741
11,01,fa5,7777,5777,197723
11,01,fa5,7777,7777,197735
11,01,fa7,0001,0001,157851
11,01,fa7,0001,0003,157146
11,01,fa7,0001,0005,157176
11,01,fa7,0001,0007,156627
11,01,fa7,0001,0017,156724
11,01,fa7,0001,0037,156745
11,01,fa7,0001,0057,156779
11,01,fa7,0001,0077,156771
11,01,fa7,0001,0177,157065
11,01,fa7,0001,0377,157040
11,01,fa7,0001,0577,157049
11,01,fa7,0001,0777,157178
11,01,fa7,0001,1777,157325
11,01,fa7,0001,3777,157198
11,01,fa7,0001,5777,157314
11,01,fa7,0001,7777,157231
11,01,fa7,0003,0001,161245
11,01,fa7,0003,0003,160567
11,01,fa7,0003,0005,160559
11,01,fa7,0003,0007,159817
11,01,fa7,0003,0017,159852
11,01,fa7,0003,0037,159988
11,01,fa7,0003,0057,159939
11,01,fa7,0003,0077,160005
11,01,fa7,0003,0177,160261
11,01,fa7,0003,0377,160375
11,01,fa7,0003,0577,160363
11,01,fa7,0003,0777,160378
11,01,fa7,0003,1777,160414
11,01,fa7,0003,3777,160525
11,01,fa7,0003,5777,160455
11,01,fa7,0003,7777,160429
11,01,fa7,0005,0001,161226
11,01,fa7,0005,0003,160521
11,01,fa7,0005,0005,160599
11,01,fa7,0005,0007,159966
11,01,fa7,0005,0017,159891
11,01,fa7,0005,0037,159960
11,01,fa7,0005,0057,159975
11,01,fa7,0005,0077,159968
11,01,fa7,0005,0177,160372
11,01,fa7,0005,0377,160336
11,01,fa7,0005,0577,160331
11,01,fa7,0005,0777,160427
11,01,fa7,0005,1777,160456
11,01,fa7,0005,3777,160454
11,01,fa7,0005,5777,160443
11,01,fa7,0005,7777,160404
11,01,fa7,0007,0001,162797
11,01,fa7,0007,0003,161973
11,01,fa7,0007,0005,162069
11,01,fa7,0007,0007,161295
11,01,fa7,0007,0017,161434
11,01,fa7,0007,0037,161417
11,01,fa7,0007,0057,161417
11,01,fa7,0007,0077,161432
11,01,fa7,0007,0177,161734
11,01,fa7,0007,0377,161835
11,01,fa7,0007,0577,161783
11,01,fa7,0007,0777,161887
11,01,fa7,0007,1777,161845
11,01,fa7,0007,3777,161858
11,01,fa7,0007,5777,161868
11,01,fa7,0007,7777,161923
11,01,fa7,0017,0001,178919
11,01,fa7,0017,0003,178040
11,01,fa7,0017,0005,178032
11,01,fa7,0017,0007,177160
11,01,fa7,0017,0017,177365
11,01,fa7,0017,0037,177281
11,01,fa7,0017,0057,177326
11,01,fa7,0017,0077,177385
11,01,fa7,0017,0177,177612
11,01,fa7,0017,0377,177650
11,01,fa7,0017,0577,177692
11,01,fa7,0017,0777,177821
11,01,fa7,0017,1777,177786
11,01,fa7,0017,3777,177856
11,01,fa7,0017,5777,177743
